		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 122070.296875	M = 62500000	N = 8	m = 9	n = 500000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 123428 122721 123479 123538 123201 122905 123292 123195 94.376956 0.000000 FAILURE   0
000000011 123367 122188 122955 122894 122971 122912 122232 122910 45.819246 0.000000 FAILURE   1
000000101 122373 122280 122559 122248 122145 122661 122662 122492 10.917651 0.206409 SUCCESS   2
000000111 122729 122141 123025 122182 122907 122587 122921 122463 27.180701 0.000658 FAILURE   3
000001001 121808 121823 122569 122261 122112 122300 122049 122023  4.001291 0.857007 SUCCESS   4
000001011 121852 121791 121878 121869 121382 121896 121882 121568  8.431387 0.392504 SUCCESS   5
000001101 122550 122175 122174 122808 122560 121727 121847 122076 10.198463 0.251372 SUCCESS   6
000001111 122644 122598 122350 122441 122354 122346 122635 122771 15.164186 0.056031 SUCCESS   7
000010001 121416 121387 121701 121313 121173 121236 120939 121348 41.583907 0.000002 FAILURE   8
000010011 121819 122273 122282 122153 121816 121906 121436 122048  5.510949 0.701827 SUCCESS   9
000010101 122680 121986 121453 122568 122535 122362 122055 122572 13.223390 0.104391 SUCCESS  10
000010111 121183 121510 121190 121435 121238 121413 121645 121365 34.595225 0.000032 FAILURE  11
000011001 122397 122695 121813 122574 122506 122551 122724 122871 19.541842 0.012216 SUCCESS  12
000011011 122170 122053 122023 122412 121653 121917 122066 122501  4.341725 0.825051 SUCCESS  13
000011101 122099 121713 122002 121137 121412 121617 121516 121044 25.450152 0.001304 FAILURE  14
000011111 122474 122909 122625 122106 122558 122196 122890 122948 24.329514 0.002018 FAILURE  15
000100011 121320 121758 121338 121515 121605 121684 121301 121559 23.081862 0.003261 FAILURE  16
000100101 121673 121483 122246 121476 122279 122439 121885 121513 11.957889 0.153093 SUCCESS  17
000100111 121892 121890 121450 121913 121726 121867 121442 121723  9.736287 0.284025 SUCCESS  18
000101001 121887 122195 121817 122339 121893 121636 122162 121425  7.036049 0.532748 SUCCESS  19
000101011 121898 122141 121269 121719 122606 121748 122068 122054 10.094252 0.258473 SUCCESS  20
000101101 121910 121550 121426 121676 121306 122678 121613 121941 17.338857 0.026768 SUCCESS  21
000101111 121633 121677 121674 121462 121352 121148 121694 121252 25.850286 0.001114 FAILURE  22
000110011 122420 122227 122260 123193 122061 122818 122439 122966 24.917303 0.001606 FAILURE  23
000110101 122265 121998 122334 122350 122455 122051 122129 122008  2.936904 0.938255 SUCCESS  24
000110111 121554 121859 121494 122477 121587 121608 122160 121927 10.884933 0.208305 SUCCESS  25
000111001 122309 122330 122211 122418 122642 122730 123063 122586 19.307200 0.013300 SUCCESS  26
000111011 121961 121759 121976 121181 121286 121297 120828 121338 35.598730 0.000021 FAILURE  27
000111101 121793 121977 121354 121938 122013 122397 122536 121385 11.970379 0.152530 SUCCESS  28
000111111 122944 123071 122914 122661 122522 122234 122483 123070 35.809135 0.000019 FAILURE  29
001000011 121240 121741 121692 121081 121972 122026 121870 121671 18.055229 0.020816 SUCCESS  30
001000101 121352 121539 121791 121216 121682 121374 121141 121438 29.699506 0.000239 FAILURE  31
001000111 121340 122000 121821 121823 121677 121797 122014 121815  8.128470 0.421022 SUCCESS  32
001001011 122080 121870 121880 121518 121611 122233 121874 121989  5.626513 0.688987 SUCCESS  33
001001101 121674 122197 122274 122497 121735 122469 122258 122474  7.340221 0.500409 SUCCESS  34
001001111 121863 121841 121997 122757 122144 121927 122252 121637  6.941455 0.542962 SUCCESS  35
001010011 122472 122125 122662 122486 122570 121849 122092 121699  9.526471 0.299845 SUCCESS  36
001010101 123437 122388 122643 123412 123186 123431 123517 122790 83.074316 0.000000 FAILURE  37
001010111 122777 122295 121677 121610 122683 122001 122114 121532 13.458692 0.097012 SUCCESS  38
001011011 121969 121909 121777 122076 121093 122376 122062 121801 10.536486 0.229370 SUCCESS  39
001011101 121408 121813 120393 120944 120940 121169 121120 121751 65.089074 0.000000 FAILURE  40
001011111 122505 121997 121484 122089 121569 121705 122416 121627 10.500133 0.231661 SUCCESS  41
001100101 122218 122629 122204 122818 122783 122603 122986 122706 24.956117 0.001581 FAILURE  42
001100111 122735 122245 122656 122925 121995 123144 122359 122902 29.483031 0.000261 FAILURE  43
001101011 122006 122239 122514 122522 122541 122336 122327 121904  6.941478 0.542960 SUCCESS  44
001101101 122578 121924 122675 122678 121663 122061 121864 122494 11.881269 0.156580 SUCCESS  45
001101111 121534 122276 122249 122185 121568 122132 121772 122133  6.135054 0.632107 SUCCESS  46
001110101 122240 122179 122207 121548 122577 121815 121596 122034  7.459056 0.488008 SUCCESS  47
001110111 121792 121368 121716 121206 121307 121392 120890 121165 39.812650 0.000003 FAILURE  48
001111011 122026 121904 121649 122067 121520 121849 121857 121324  9.840704 0.276385 SUCCESS  49
001111101 121907 122379 122254 122384 121917 121370 122288 122219  7.096787 0.526227 SUCCESS  50
001111111 123139 122796 122917 123128 122568 123161 123019 123116 58.765062 0.000000 FAILURE  51
