		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.484375	M = 256	N = 8	m = 9	n = 2048
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    1    1    1    1    1    2    0 12.739394 0.121136 SUCCESS   0
000000011    1    2    1    2    1    0    1    1 12.739394 0.121136 SUCCESS   1
000000101    0    0    1    0    0    1    1    0  4.076768 0.850132 SUCCESS   2
000000111    1    2    2    0    0    0    1    1 12.610101 0.125988 SUCCESS   3
000001001    1    0    0    0    0    1    1    1  4.141414 0.844144 SUCCESS   4
000001011    0    0    0    1    0    0    2    0  8.214141 0.412837 SUCCESS   5
000001101    1    0    0    2    3    1    0    0 20.884848 0.007460 FAILURE   6
000001111    0    0    1    3    1    0    2    0 20.884848 0.007460 FAILURE   7
000010001    3    0    1    0    0    0    0    0 16.553535 0.035109 SUCCESS   8
000010011    0    0    0    0    0    1    1    1  4.076768 0.850132 SUCCESS   9
000010101    2    0    1    0    1    0    0    0  8.278788 0.406722 SUCCESS  10
000010111    0    0    0    0    0    0    0    0  3.882828 0.867537 SUCCESS  11
000011001    0    0    2    3    0    0    0    2 25.022222 0.001541 FAILURE  12
000011011    0    0    0    0    1    2    2    0 12.480808 0.131006 SUCCESS  13
000011101    2    1    1    1    0    0    0    2 12.610101 0.125988 SUCCESS  14
000011111    0    1    1    1    0    0    1    0  4.141414 0.844144 SUCCESS  15
000100011    3    0    1    0    0    0    1    0 16.618182 0.034340 SUCCESS  16
000100101    0    0    0    0    0    0    0    0  3.882828 0.867537 SUCCESS  17
000100111    0    0    0    0    0    1    1    0  4.012121 0.856028 SUCCESS  18
000101001    0    1    0    0    0    0    1    1  4.076768 0.850132 SUCCESS  19
000101011    1    1    0    0    0    0    0    0  4.012121 0.856028 SUCCESS  20
000101101    1    0    0    0    0    0    0    0  3.947475 0.861831 SUCCESS  21
000101111    0    0    0    1    0    0    0    0  3.947475 0.861831 SUCCESS  22
000110011    1    0    2    2    0    1    0    1 12.610101 0.125988 SUCCESS  23
000110101    2    0    2    1    1    0    0    1 12.610101 0.125988 SUCCESS  24
000110111    0    0    0    0    0    3    0    1 16.553535 0.035109 SUCCESS  25
000111001    0    0    0    1    0    0    0    0  3.947475 0.861831 SUCCESS  26
000111011    1    2    2    0    1    0    0    0 12.545455 0.128476 SUCCESS  27
000111101    0    1    1    0    1    0    2    0  8.343434 0.400661 SUCCESS  28
000111111    0    0    0    1    0    0    0    1  4.012121 0.856028 SUCCESS  29
001000011    0    0    0    0    1    1    1    0  4.076768 0.850132 SUCCESS  30
001000101    0    0    0    0    0    0    0    3 16.488889 0.035894 SUCCESS  31
001000111    1    0    1    0    0    0    1    1  4.141414 0.844144 SUCCESS  32
001001011    0    0    1    0    0    0    1    0  4.012121 0.856028 SUCCESS  33
001001101    0    1    0    0    1    1    0    1  4.141414 0.844144 SUCCESS  34
001001111    1    0    0    0    0    1    0    0  4.012121 0.856028 SUCCESS  35
001010011    0    2    0    0    0    0    0    1  8.214141 0.412837 SUCCESS  36
001010101    0    2    1    0    1    0    0    1  8.343434 0.400661 SUCCESS  37
001010111    0    1    0    0    0    1    0    0  4.012121 0.856028 SUCCESS  38
001011011    1    0    0    0    0    1    0    0  4.012121 0.856028 SUCCESS  39
001011101    0    0    0    1    1    0    0    0  4.012121 0.856028 SUCCESS  40
001011111    0    0    1    1    0    0    0    0  4.012121 0.856028 SUCCESS  41
001100101    0    1    0    1    0    0    0    4 29.094949 0.000305 FAILURE  42
001100111    1    0    2    1    2    0    0    0 12.545455 0.128476 SUCCESS  43
001101011    2    1    0    1    1    1    0    0  8.408081 0.394656 SUCCESS  44
001101101    0    0    0    1    0    0    2    0  8.214141 0.412837 SUCCESS  45
001101111    0    0    1    0    1    1    0    0  4.076768 0.850132 SUCCESS  46
001110101    1    0    1    2    0    0    0    2 12.545455 0.128476 SUCCESS  47
001110111    0    1    1    0    0    0    1    0  4.076768 0.850132 SUCCESS  48
001111011    0    3    0    0    0    0    2    0 20.755556 0.007826 FAILURE  49
001111101    0    1    0    1    1    2    1    0  8.408081 0.394656 SUCCESS  50
001111111    0    0    1    1    1    0    0    0  4.076768 0.850132 SUCCESS  51
010000011    2    0    1    2    1    0    1    0 12.610101 0.125988 SUCCESS  52
010000111    0    0    1    0    0    0    0    1  4.012121 0.856028 SUCCESS  53
010001011    1    0    0    0    0    1    0    0  4.012121 0.856028 SUCCESS  54
010001111    1    0    2    0    0    0    2    1 12.545455 0.128476 SUCCESS  55
010010011    1    0    0    0    1    0    0    0  4.012121 0.856028 SUCCESS  56
010010111    0    0    1    1    1    0    1    0  4.141414 0.844144 SUCCESS  57
010011011    0    0    1    1    0    0    0    1  4.076768 0.850132 SUCCESS  58
010011111    1    1    2    1    0    1    2    0 12.674747 0.123541 SUCCESS  59
010100011    0    0    0    0    1    1    1    2  8.343434 0.400661 SUCCESS  60
010100111    1    3    2    0    0    0    0    2 25.086869 0.001503 FAILURE  61
010101011    0    2    1    0    1    0    0    0  8.278788 0.406722 SUCCESS  62
010101111    0    1    0    0    0    0    1    1  4.076768 0.850132 SUCCESS  63
010110011    1    1    0    1    0    0    0    0  4.076768 0.850132 SUCCESS  64
010110111    0    0    0    1    0    0    0    0  3.947475 0.861831 SUCCESS  65
010111011    0    0    0    1    1    2    0    0  8.278788 0.406722 SUCCESS  66
010111111    0    0    0    1    0    0    0    0  3.947475 0.861831 SUCCESS  67
011000111    1    1    0    1    0    0    1    0  4.141414 0.844144 SUCCESS  68
011001111    0    2    0    2    1    0    0    0 12.480808 0.131006 SUCCESS  69
011010111    3    0    1    0    0    2    0    0 20.820202 0.007641 FAILURE  70
011011111    1    0    0    0    1    1    0    0  4.076768 0.850132 SUCCESS  71
011101111    0    1    1    0    1    0    0    0  4.076768 0.850132 SUCCESS  72
011111111    0    0    0    0    2    0    0    0  8.149495 0.419005 SUCCESS  73
100000000    2    1    1    1    1    1    2    0 12.739394 0.121136 SUCCESS  74
100010000    0    0    0    1    0    0    1    0  4.012121 0.856028 SUCCESS  75
100100000    2    1    0    1    1    1    2    1 12.739394 0.121136 SUCCESS  76
100101000    0    0    0    0    0    0    1    2  8.214141 0.412837 SUCCESS  77
100110000    0    0    0    1    1    0    1    0  4.076768 0.850132 SUCCESS  78
100111000    2    0    1    0    1    1    0    0  8.343434 0.400661 SUCCESS  79
101000000    0    0    1    1    0    0    0    1  4.076768 0.850132 SUCCESS  80
101000100    0    0    0    1    0    0    1    1  4.076768 0.850132 SUCCESS  81
101001000    0    0    0    0    0    0    1    2  8.214141 0.412837 SUCCESS  82
101001100    1    1    1    0    1    0    0    1  4.206061 0.838070 SUCCESS  83
101010000    0    0    1    1    1    0    0    1  4.141414 0.844144 SUCCESS  84
101010100    0    2    0    0    0    1    0    3 20.820202 0.007641 FAILURE  85
101011000    0    1    1    1    0    0    1    0  4.141414 0.844144 SUCCESS  86
101011100    0    0    0    0    0    0    0    0  3.882828 0.867537 SUCCESS  87
101100000    0    0    1    0    0    1    2    0  8.278788 0.406722 SUCCESS  88
101100100    1    0    0    0    0    0    1    0  4.012121 0.856028 SUCCESS  89
101101000    1    1    0    0    2    0    0    1  8.343434 0.400661 SUCCESS  90
101101100    0    0    0    0    1    2    1    0  8.278788 0.406722 SUCCESS  91
101110000    0    0    0    2    0    1    0    1  8.278788 0.406722 SUCCESS  92
101110100    0    0    0    0    0    0    0    0  3.882828 0.867537 SUCCESS  93
101111000    1    1    0    2    1    0    0    0  8.343434 0.400661 SUCCESS  94
101111100    1    0    1    1    0    0    1    1  4.206061 0.838070 SUCCESS  95
110000000    2    0    0    1    1    0    2    0 12.545455 0.128476 SUCCESS  96
110000010    1    0    0    1    1    1    0    0  4.141414 0.844144 SUCCESS  97
110000100    1    1    1    1    0    1    0    0  4.206061 0.838070 SUCCESS  98
110001000    0    0    0    0    1    0    1    0  4.012121 0.856028 SUCCESS  99
110001010    1    1    0    0    0    0    0    0  4.012121 0.856028 SUCCESS 100
110010000    0    1    0    1    0    1    1    1  4.206061 0.838070 SUCCESS 101
110010010    1    1    1    0    1    0    0    1  4.206061 0.838070 SUCCESS 102
110010100    0    0    0    0    0    1    1    3 16.618182 0.034340 SUCCESS 103
110011000    0    0    1    0    0    0    0    0  3.947475 0.861831 SUCCESS 104
